step,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14
13,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.017530116508257785,0.11552545224283833,-0.859731425940382,0.002111671534751072,2.048190331079391,-0.10395074361017392,0.7425423081467564,0.2631372413993725,-0.03944779045068398,-0.965847143545602,-0.10975578352542976,1.9579555327400573,-0.04247288896612406,0.8529471346167957,-0.06948690421242538,-0.1675766557455063,0.3151586651802063,-0.37063008546829224,-0.01481411699205637,-0.02155105583369732,0.1577698439359665,-1.000412106513977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.01885535932928439,0.12801690909994848,-0.8503244144988489,0.0015626663831278084,2.0518465420479353,-0.11266207016640839,0.737306526212752,0.2862788121940842,-0.04237668508746521,-0.9661711828488357,-0.11979534096560271,1.9548037993514258,-0.04589110741116052,0.8568095062392694,-0.06970488708326017,-0.16853787004947662,0.2573373317718506,-0.2859587073326111,-0.020693620666861534,-0.010295988060534,0.16524426639080048,-0.998143196105957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.020134422067262046,0.14076556122612868,-0.8409786909758334,0.0008680955231643337,2.0552944272579983,-0.12116006696594393,0.7319206272636198,0.30961335963839953,-0.045056426687343866,-0.966566868873788,-0.12965075065811707,1.9518344642707115,-0.0491953114538611,0.8601165133522009,-0.06978803355011762,-0.1787533462047577,0.21287116408348083,-0.22878886759281158,-0.026232797652482986,-0.012378881685435772,0.15843547880649567,-0.9987094402313232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.02139128998446609,0.1537342090919534,-0.8317234630322856,3.41547197141161e-05,2.058519336585059,-0.12943473546727502,0.7264074110659517,0.33307021608258197,-0.04752374836089826,-0.9670241103858986,-0.13926536958807265,1.9490294013960492,-0.05232211213146669,0.8629879725487684,-0.06982487495544638,-0.21097391843795776,0.18079239130020142,-0.20843228697776794,-0.031769443303346634,-0.014585242606699467,0.1589222550392151,-0.9937620759010315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.02266050538070811,0.16689340243978262,-0.8225803605910206,-0.0009307614212728246,2.061511588724017,-0.1374794647309298,0.7207736816076082,0.35654115874064507,-0.04981113389308867,-0.9675337506633636,-0.14859402364208693,1.946373263991055,-0.055236684184449075,0.8655114715058845,-0.06984608425291083,-0.2789558172225952,0.19064411520957947,-0.2387685477733612,-0.0341617688536644,-0.015345940366387367,0.18617747724056244,-0.9988071918487549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.023957701595293257,0.18021601213376062,-0.8135682771640091,-0.0020180863765061853,2.0642657506939486,-0.1452843954720354,0.7150351750428126,0.3799555829198375,-0.05194620116599106,-0.9680878548828641,-0.15760226153362525,1.9438542141273243,-0.05792512855395114,0.8677526128170544,-0.06986210028501906,-0.3138538599014282,0.2212315946817398,-0.2259601503610611,-0.04017284885048866,-0.008573489263653755,0.21208681166172028,-0.999026358127594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.503854985526234,0.10326939137876023,-0.5745549774855375,0.02399182362235691,-0.11290372759956602,0.1881864128933159,-0.9929443371534944,-0.02526025163377468,0.19367552500968674,-0.8047031082263373,-0.003218561228736748,2.0667795816342878,-0.1528405148864805,0.7092081814670416,0.4032533828755096,-0.05395172067246756,-0.968679811424047,-0.16626530188037683,1.9414639058495997,-0.060388162522815245,0.869761828290522,-0.06987634537816635,-0.3027862310409546,0.22481684386730194,-0.21796920895576477,-0.040049854665994644,-0.0024306238628923893,0.22271981835365295,-1.0013132095336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.026512989638372928,0.20724252928010825,-0.7959987503849515,-0.00452078727990476,2.0690517289025685,-0.16015033521507074,0.7033123354318205,0.426377007173589,-0.055846830536770455,-0.9693036694855093,-0.1745658031746215,1.939194338078389,-0.06263197237768882,0.871574764201524,-0.0698899096252423,-0.22555339336395264,0.10255877673625946,-0.33967676758766174,-0.009229546412825584,-0.017547057941555977,0.07773201912641525,-1.0003150701522827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.027690932343684322,0.22088980178763767,-0.7874654795270623,-0.005911768564255536,2.0710828471926157,-0.16721943701645894,0.6973703650656319,0.4492773194257514,-0.05764642555824033,-0.9699547415627108,-0.1824937728773839,1.9370412677283775,-0.06467229911129796,0.8732212163934832,-0.0699029316252161,-0.20996445417404175,0.1008901447057724,-0.29969558119773865,-0.008195558562874794,-0.019438551738858223,0.07540042698383331,-1.0014333724975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.02879227697234717,0.2345955952474712,-0.7791089150268501,-0.007377764923435963,2.07287701086586,-0.1740462549462311,0.691404599976887,0.47192717336055234,-0.059362976319194766,-0.9706287875927898,-0.19004442509583114,1.934998802256712,-0.06652094927120987,0.8747203841123,-0.06991559222676604,-0.17156144976615906,0.1102604866027832,-0.2299848347902298,-0.011365775018930435,-0.012362807057797909,0.06776261329650879,-1.0015932321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
